agence_id,libelle,structure_mere,DirRegionale
11,Beja,711,DIR.REG.BEJA
18,Medjez El Bab,711,DIR.REG.BEJA
23,Teboursouk,711,DIR.REG.BEJA
51,Testour,711,DIR.REG.BEJA
57,Nefza,711,DIR.REG.BEJA
125,Amdoun,711,DIR.REG.BEJA
126,Goubellat,711,DIR.REG.BEJA
148,BEJA LESSOR,711,DIR.REG.BEJA
13,Djerba,712,D.REG MEDENINE
25,Zarzis,712,D.REG MEDENINE
35,Ben Guerdane,712,D.REG MEDENINE
36,Mednine,712,D.REG MEDENINE
74,Tataouine,712,D.REG MEDENINE
110,Guellala,712,D.REG MEDENINE
143,JERBA MIDOUN,712,D.REG MEDENINE
183,ZARZIS MEDINA,712,D.REG MEDENINE
8,Bouarada,713,DIR.REG.SILIANA
31,Siliana,713,DIR.REG.SILIANA
54,Makthar,713,DIR.REG.SILIANA
84,Gaafour,713,DIR.REG.SILIANA
93,Krib,713,DIR.REG.SILIANA
129,Errouhia,713,DIR.REG.SILIANA
120,Succ de Tunis,780,Dir Centrale Des Agences de l'Exploitation et du Marketing
28,Tunis A,882,DIR.REG.DE TUNIS II
29,Tunis B,882,DIR.REG.DE TUNIS II
32,Pont du Fahs,882,DIR.REG.DE TUNIS II
38,Lagoulette,882,DIR.REG.DE TUNIS II
44,Tunis Port,882,DIR.REG.DE TUNIS II
50,InterTunisia,882,DIR.REG.DE TUNIS II
66,Ben Arous,882,DIR.REG.DE TUNIS II
70,Mornag,882,DIR.REG.DE TUNIS II
71,Zaghouan,882,DIR.REG.DE TUNIS II
87,Mhamdia,882,DIR.REG.DE TUNIS II
92,Ezzahra,882,DIR.REG.DE TUNIS II
99,Bir El Kassaa,882,DIR.REG.DE TUNIS II
141,Rades Port,882,DIR.REG.DE TUNIS II
155,Les Berges du Lac,882,DIR.REG.DE TUNIS II
157,BOUMHEL ELBASSATINE,882,DIR.REG.DE TUNIS II
160,EL MOUROUJ,882,DIR.REG.DE TUNIS II
161,Les Jardins de Carthage,882,DIR.REG.DE TUNIS II
163,MEGRINE,882,DIR.REG.DE TUNIS II
165,LA MARSA,882,DIR.REG.DE TUNIS II
166,Le Kram,882,DIR.REG.DE TUNIS II
173,LAAOUINA,882,DIR.REG.DE TUNIS II
174,RADES,882,DIR.REG.DE TUNIS II
175,Lac 2,882,DIR.REG.DE TUNIS II
12,Bizerte,883,DIR.REG.BIZERTE
17,Mateur,883,DIR.REG.BIZERTE
37,Ml Bourguiba,883,DIR.REG.BIZERTE
49,Ras Djebel,883,DIR.REG.BIZERTE
98,Sejnene,883,DIR.REG.BIZERTE
100,Al Alia,883,DIR.REG.BIZERTE
142,Zarzouna,883,DIR.REG.BIZERTE
178,Bizerte EL JELAA,883,DIR.REG.BIZERTE
15,Kef,884,DIR.REG.KEF
52,Dahmani,884,DIR.REG.KEF
53,Sers,884,DIR.REG.KEF
67,Tajerouine,884,DIR.REG.KEF
131,Jerissa,884,DIR.REG.KEF
2,Soliman,885,DIR.REG.NABEUL
4,Beni Khiar,885,DIR.REG.NABEUL
7,Beni Khalled,885,DIR.REG.NABEUL
27,Nabeul,885,DIR.REG.NABEUL
30,Grombalia,885,DIR.REG.NABEUL
59,Hammamet,885,DIR.REG.NABEUL
61,MlTemime,885,DIR.REG.NABEUL
68,Kelibia,885,DIR.REG.NABEUL
75,Korba,885,DIR.REG.NABEUL
76,MlBouzelfa,885,DIR.REG.NABEUL
91,El Haouaria,885,DIR.REG.NABEUL
101,Bouargoub,885,DIR.REG.NABEUL
106,Nabeul II,885,DIR.REG.NABEUL
124,EL Mida,885,DIR.REG.NABEUL
168,Mrezga,885,DIR.REG.NABEUL
177,Hammamet Sud,885,DIR.REG.NABEUL
20,Sousse,886,DIR.REG.SOUSSE
56,Msaken,886,DIR.REG.SOUSSE
65,Kalaa Kebira,886,DIR.REG.SOUSSE
